var_index,gene,bin
475,FAM13B,19
476,ARHGAP31,12
477,CENPQ,16
478,SARS1,14
479,RANBP3,22
480,ARID4A,16
481,EIPR1,19
482,PNPLA6,21
483,IFT88,13
484,ALG1,17
485,ZCCHC8,17
486,ABCF2,19
487,CHPF2,18
488,LRRC7,5
489,FUT8,23
490,UBA6,23
491,GAB2,17
492,ATP6V0A1,12
493,PIAS1,16
494,SLC4A7,22
495,APBA2,9
496,MAP2K3,23
497,CLXN,0
498,TMSB10,24
499,ASTE1,14
500,RNF19A,21
501,PEX3,16
502,MYOC,4
503,SH3YL1,15
504,FAM136A,22
505,VCL,17
506,DEPDC1B,19
507,DAPK2,11
508,NSMAF,21
509,ADSS2,23
510,STAP1,17
511,TIMP2,10
512,RFC1,21
513,TBC1D23,15
514,CUL3,23
515,MYOM2,10
516,OTC,3
517,CYP46A1,6
518,ZZZ3,17
519,SLC18A1,2
520,USP2,8
521,CASR,6
522,TUBG2,11
523,FLT4,7
524,NSUN2,22
525,FBXO42,18
526,MFAP3,11
527,MRI1,15
528,METTL1,16
529,HOXC8,4
530,AGA,17
531,PI4K2B,22
532,BOD1L1,17
533,MAT2B,24
534,TLL1,6
535,EDC4,22
536,TRIO,12
537,VCAN,7
538,CLEC16A,16
539,MSR1,2
540,CDH1,9
541,MTREX,21
542,DNAH5,0
543,ZFYVE16,15
544,RIPOR1,14
545,C6,0
546,RAI14,9
547,SOX30,8
548,BEST2,6
549,PHLPP2,14
550,SPDL1,16
551,STAU2,23
552,SLC66A1,12
553,CTNS,17
554,RTN4R,10
555,PHF23,16
556,CDH10,3
557,INPP4A,23
558,RAB27B,10
559,PSMA4,24
560,MYO16,3
561,LSG1,19
562,PARP3,12
563,TNC,8
564,THAP3,15
565,RIPOR3,1
566,TDP1,22
567,AIFM2,13
568,SPATA7,11
569,MED17,20
570,RETSAT,14
571,CAPG,19
572,AP2S1,21
573,USH2A,0
574,ZPBP,7
575,TG,8
576,ADAM28,5
577,BARX2,8
578,DCUN1D1,22
579,JADE2,16
580,ZIC2,7
581,LCP2,24
582,TRIT1,16
583,ADRB1,5
584,GUCA2B,2
585,CUL7,12
586,CTNNA1,20
587,PHKA2,14
588,CNTLN,10
589,EPHA3,6
590,HSPA5,19
591,DSG2,9
592,GEMIN8,13
593,OFD1,15
594,GPM6B,2
595,MAGEC2,1
596,PREX2,1
597,WDR37,19
598,YTHDC2,19
599,CTPS2,12
600,ATP6V1H,20
601,POLR2B,24
602,ATOSA,19
603,ARAP2,17
604,TPR,23
605,CP,4
606,KATNIP,13
607,DTNBP1,18
608,XK,6
609,ANO2,3
610,C12orf4,16
611,SCML1,9
612,WWC3,19
613,ARHGAP6,3
614,MAP4,24
615,GOPC,21
616,ROS1,2
617,USP28,18
618,HDAC9,10
619,TSPAN17,16
620,NOP16,24
621,CC2D2A,4
622,RRM2B,15
623,ZNF800,19
624,TNFRSF17,4
625,SNX29,12
626,LMO3,1
627,GUCA1A,4
628,RSF1,19
629,VPS13D,17
630,CELF2,24
631,FAM120A,24
632,R3HDM1,19
633,COL9A2,11
634,KITLG,7
635,ERCC8,15
636,ADAMTS6,10
637,H6PD,13
638,VAMP3,18
639,PER3,10
640,UTS2,18
641,TNFRSF9,22
642,EPN3,4
643,LTBP1,7
644,RCN1,21
645,ELN,4
646,RFC2,20
647,ARID1B,15
648,CLPTM1L,23
649,NEDD4L,13
650,FOXP3,15
651,PPP1R3F,13
652,HEXB,18
653,PTCD2,14
654,NEXMIF,7
655,JKAMP,13
656,DKK3,2
657,ARHGEF5,12
658,NFE2L3,19
659,MCUR1,21
660,LIMA1,20
661,LETMD1,17
662,SLC4A8,11
663,LAMC3,6
664,PTGER3,10
665,TNIP3,15
666,MAPK9,22
667,COL23A1,7
668,BCAR1,8
669,FHIP1B,15
670,HERPUD1,21
671,HOMER3,8
672,RAD51,19
673,POLQ,17
674,PIK3CB,14
